STATION,NAME,DATE,PRCP,SNOW,SNWD
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/27/2020,0.28,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/28/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/29/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/30/2020,0.27,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/1/2020,0.07,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/2/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/3/2020,0.18,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/4/2020,0.31,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/5/2020,0.14,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/6/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/7/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/8/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/9/2020,0.53,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/10/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/11/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/12/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/13/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/14/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/15/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/16/2020,0.17,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/17/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/18/2020,0.1,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/19/2020,3.39,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/20/2020,0.82,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/21/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/22/2020,0.16,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/23/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/24/2020,1.44,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/25/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/26/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/27/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/28/2020,0.17,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/29/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/30/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/31/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/1/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/2/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/3/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/4/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/5/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/6/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/7/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/8/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/9/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/10/2020,0.17,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/11/2020,0.28,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/12/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/13/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/14/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/15/2020,0.08,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/16/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/17/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/18/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/19/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/20/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/21/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/22/2020,0.41,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/23/2020,0.87,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/24/2020,0.34,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/25/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/26/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/27/2020,0.8,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/28/2020,0.22,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/29/2020,0.9,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/30/2020,0.09,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/1/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/2/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/3/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/4/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/5/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/6/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/7/2020,1.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/8/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/9/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/10/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/11/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/12/2020,0.12,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/13/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/14/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/15/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/16/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/17/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/18/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/19/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/20/2020,1.16,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/21/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/22/2020,0.19,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/23/2020,0.77,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/24/2020,0.77,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/25/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/26/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/27/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/28/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/29/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/30/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",7/31/2020,1.54,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/1/2020,0.37,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/2/2020,1.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/3/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/4/2020,0.1,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/5/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/6/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/7/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/8/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/9/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/10/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/11/2020,0.6,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/12/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/13/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/14/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/15/2020,0.16,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/16/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/17/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/18/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/19/2020,0.28,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/20/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/21/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/22/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/23/2020,0.44,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/24/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/25/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/26/2020,0.19,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/27/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/28/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/29/2020,0.55,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/30/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",8/31/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/2/2020,0.35,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/3/2020,0.52,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/4/2020,0.18,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/5/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/6/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/7/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/8/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/9/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/10/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/11/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/12/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/13/2020,0.09,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/14/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/15/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/16/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/17/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/18/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/19/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/20/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/21/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/22/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/23/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/24/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/25/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/26/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/27/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/28/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/29/2020,0.4,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",9/30/2020,0.05,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/1/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/2/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/3/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/4/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/5/2020,0.16,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/6/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/7/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/8/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/9/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/10/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/11/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/12/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/13/2020,0.09,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/14/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/15/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/16/2020,0.08,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/17/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/18/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/19/2020,0.59,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/20/2020,1.22,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/21/2020,0.05,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/22/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/23/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/24/2020,0.32,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/25/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/26/2020,0.07,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/27/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/28/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/29/2020,0.94,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/30/2020,1.39,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",10/31/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/1/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/2/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/3/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/4/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/5/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/6/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/7/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/8/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/9/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/10/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/11/2020,0.9,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/12/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/13/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",11/14/2020,0,,
