STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2/6/2018,0.10,,39,33
USW00025333,"SITKA AIRPORT, AK US",2/7/2018,0.00,,42,31
USW00025333,"SITKA AIRPORT, AK US",2/8/2018,0.00,,39,28
USW00025333,"SITKA AIRPORT, AK US",2/9/2018,0.00,,37,25
USW00025333,"SITKA AIRPORT, AK US",2/10/2018,0.00,,37,24
USW00025333,"SITKA AIRPORT, AK US",2/11/2018,0.00,,40,32
USW00025333,"SITKA AIRPORT, AK US",2/12/2018,1.24,,43,35
USW00025333,"SITKA AIRPORT, AK US",2/13/2018,0.37,,41,31
USW00025333,"SITKA AIRPORT, AK US",2/14/2018,0.00,,40,29
USW00025333,"SITKA AIRPORT, AK US",2/15/2018,0.43,,38,33
USW00025333,"SITKA AIRPORT, AK US",2/16/2018,0.00,,36,28
USW00025333,"SITKA AIRPORT, AK US",2/17/2018,0.00,,37,30
USW00025333,"SITKA AIRPORT, AK US",2/18/2018,0.00,,39,25
USW00025333,"SITKA AIRPORT, AK US",2/19/2018,0.03,,39,29
USW00025333,"SITKA AIRPORT, AK US",2/20/2018,0.03,,38,28
USW00025333,"SITKA AIRPORT, AK US",2/21/2018,0.00,,41,29
USW00025333,"SITKA AIRPORT, AK US",2/22/2018,0.46,,42,34
USW00025333,"SITKA AIRPORT, AK US",2/23/2018,0.24,,41,30
USW00025333,"SITKA AIRPORT, AK US",2/24/2018,0.58,,39,30
USW00025333,"SITKA AIRPORT, AK US",2/25/2018,0.02,,38,32
USW00025333,"SITKA AIRPORT, AK US",2/26/2018,0.45,,42,33
USW00025333,"SITKA AIRPORT, AK US",2/27/2018,0.32,,39,32
USW00025333,"SITKA AIRPORT, AK US",2/28/2018,0.60,,40,30
USW00025333,"SITKA AIRPORT, AK US",3/1/2018,0.00,,35,27
USW00025333,"SITKA AIRPORT, AK US",3/2/2018,0.00,,40,26
USW00025333,"SITKA AIRPORT, AK US",3/3/2018,0.00,,41,25
USW00025333,"SITKA AIRPORT, AK US",3/4/2018,0.00,,40,27
USW00025333,"SITKA AIRPORT, AK US",3/5/2018,0.00,,39,25
USW00025333,"SITKA AIRPORT, AK US",3/6/2018,0.00,,39,31
USW00025333,"SITKA AIRPORT, AK US",3/7/2018,0.31,,40,32
USW00025333,"SITKA AIRPORT, AK US",3/8/2018,0.24,,39,33
USW00025333,"SITKA AIRPORT, AK US",3/9/2018,0.42,,42,33
USW00025333,"SITKA AIRPORT, AK US",3/10/2018,0.48,,43,34
USW00025333,"SITKA AIRPORT, AK US",3/11/2018,0.51,,44,34
USW00025333,"SITKA AIRPORT, AK US",3/12/2018,0.01,,54,36
USW00025333,"SITKA AIRPORT, AK US",3/13/2018,0.00,,58,39
USW00025333,"SITKA AIRPORT, AK US",3/14/2018,0.00,,54,42
USW00025333,"SITKA AIRPORT, AK US",3/15/2018,0.00,,45,36
USW00025333,"SITKA AIRPORT, AK US",3/16/2018,0.00,,45,36
USW00025333,"SITKA AIRPORT, AK US",3/17/2018,0.00,,45,34
USW00025333,"SITKA AIRPORT, AK US",3/18/2018,0.02,,43,33
USW00025333,"SITKA AIRPORT, AK US",3/19/2018,0.90,,41,36
USW00025333,"SITKA AIRPORT, AK US",3/20/2018,0.17,,41,33
USW00025333,"SITKA AIRPORT, AK US",3/21/2018,0.00,,42,30
USW00025333,"SITKA AIRPORT, AK US",3/22/2018,0.00,,46,34
USW00025333,"SITKA AIRPORT, AK US",3/23/2018,0.00,,42,31
USW00025333,"SITKA AIRPORT, AK US",3/24/2018,0.01,,42,28
USW00025333,"SITKA AIRPORT, AK US",3/25/2018,0.00,,41,32
USW00025333,"SITKA AIRPORT, AK US",3/26/2018,0.49,,42,31
USW00025333,"SITKA AIRPORT, AK US",3/27/2018,0.22,,43,38
USW00025333,"SITKA AIRPORT, AK US",3/28/2018,0.07,,43,36
USW00025333,"SITKA AIRPORT, AK US",3/29/2018,0.00,,46,33
USW00025333,"SITKA AIRPORT, AK US",3/30/2018,0.05,,45,28
USW00025333,"SITKA AIRPORT, AK US",3/31/2018,0.00,,43,33
USW00025333,"SITKA AIRPORT, AK US",4/1/2018,0.00,,45,31
USW00025333,"SITKA AIRPORT, AK US",4/2/2018,0.00,,41,30
USW00025333,"SITKA AIRPORT, AK US",4/3/2018,0.00,,43,28
USW00025333,"SITKA AIRPORT, AK US",4/4/2018,0.00,,45,31
USW00025333,"SITKA AIRPORT, AK US",4/5/2018,0.00,,52,38
USW00025333,"SITKA AIRPORT, AK US",4/6/2018,0.00,,51,45
USW00025333,"SITKA AIRPORT, AK US",4/7/2018,0.00,,59,38
USW00025333,"SITKA AIRPORT, AK US",4/8/2018,0.02,,52,40
USW00025333,"SITKA AIRPORT, AK US",4/9/2018,0.01,,54,43
USW00025333,"SITKA AIRPORT, AK US",4/10/2018,0.00,,57,45
USW00025333,"SITKA AIRPORT, AK US",4/11/2018,0.00,,58,43
USW00025333,"SITKA AIRPORT, AK US",4/12/2018,0.01,,51,43
USW00025333,"SITKA AIRPORT, AK US",4/13/2018,0.01,,51,40
USW00025333,"SITKA AIRPORT, AK US",4/14/2018,0.05,,48,37
USW00025333,"SITKA AIRPORT, AK US",4/15/2018,0.00,,50,34
USW00025333,"SITKA AIRPORT, AK US",4/16/2018,0.00,,49,35
USW00025333,"SITKA AIRPORT, AK US",4/17/2018,0.00,,46,34
USW00025333,"SITKA AIRPORT, AK US",4/18/2018,0.95,,46,41
USW00025333,"SITKA AIRPORT, AK US",4/19/2018,0.85,,45,40
USW00025333,"SITKA AIRPORT, AK US",4/20/2018,0.06,,45,34
USW00025333,"SITKA AIRPORT, AK US",4/21/2018,0.22,,47,32
USW00025333,"SITKA AIRPORT, AK US",4/22/2018,0.13,,47,41
USW00025333,"SITKA AIRPORT, AK US",4/23/2018,0.49,,45,43
USW00025333,"SITKA AIRPORT, AK US",4/24/2018,0.23,,46,41
USW00025333,"SITKA AIRPORT, AK US",4/25/2018,0.11,,45,41
USW00025333,"SITKA AIRPORT, AK US",4/26/2018,0.04,,45,41
USW00025333,"SITKA AIRPORT, AK US",4/27/2018,0.01,,46,40
USW00025333,"SITKA AIRPORT, AK US",4/28/2018,0.02,,47,38
USW00025333,"SITKA AIRPORT, AK US",4/29/2018,0.01,,46,38
USW00025333,"SITKA AIRPORT, AK US",4/30/2018,0.08,,44,39
USW00025333,"SITKA AIRPORT, AK US",5/1/2018,0.88,,44,42
USW00025333,"SITKA AIRPORT, AK US",5/2/2018,0.14,,47,36
USW00025333,"SITKA AIRPORT, AK US",5/3/2018,0.03,,45,36
USW00025333,"SITKA AIRPORT, AK US",5/4/2018,0.10,,48,42
USW00025333,"SITKA AIRPORT, AK US",5/5/2018,0.31,,50,44
USW00025333,"SITKA AIRPORT, AK US",5/6/2018,0.00,,56,41
USW00025333,"SITKA AIRPORT, AK US",5/7/2018,0.00,,53,43
USW00025333,"SITKA AIRPORT, AK US",5/8/2018,0.00,,51,43
USW00025333,"SITKA AIRPORT, AK US",5/9/2018,0.20,,56,43
USW00025333,"SITKA AIRPORT, AK US",5/10/2018,0.00,,52,43
USW00025333,"SITKA AIRPORT, AK US",5/11/2018,0.76,,48,44
USW00025333,"SITKA AIRPORT, AK US",5/12/2018,0.16,,49,44
USW00025333,"SITKA AIRPORT, AK US",5/13/2018,0.16,,54,43
USW00025333,"SITKA AIRPORT, AK US",5/14/2018,0.27,,45,39
USW00025333,"SITKA AIRPORT, AK US",5/15/2018,0.03,,50,38
USW00025333,"SITKA AIRPORT, AK US",5/16/2018,0.00,,51,38
USW00025333,"SITKA AIRPORT, AK US",5/17/2018,0.00,,57,38
USW00025333,"SITKA AIRPORT, AK US",5/18/2018,0.00,,52,45
USW00025333,"SITKA AIRPORT, AK US",5/19/2018,0.00,,50,45
USW00025333,"SITKA AIRPORT, AK US",5/20/2018,0.37,,52,46
USW00025333,"SITKA AIRPORT, AK US",5/21/2018,0.63,,53,47
USW00025333,"SITKA AIRPORT, AK US",5/22/2018,0.16,,52,44
USW00025333,"SITKA AIRPORT, AK US",5/23/2018,0.00,,55,42
USW00025333,"SITKA AIRPORT, AK US",5/24/2018,0.17,,52,45
USW00025333,"SITKA AIRPORT, AK US",5/25/2018,0.11,,50,45
USW00025333,"SITKA AIRPORT, AK US",5/26/2018,0.31,,52,44
USW00025333,"SITKA AIRPORT, AK US",5/27/2018,0.23,,51,45
USW00025333,"SITKA AIRPORT, AK US",5/28/2018,1.03,,50,42
USW00025333,"SITKA AIRPORT, AK US",5/29/2018,0.00,,54,41
USW00025333,"SITKA AIRPORT, AK US",5/30/2018,0.00,,53,44
USW00025333,"SITKA AIRPORT, AK US",5/31/2018,0.00,,54,42
USW00025333,"SITKA AIRPORT, AK US",6/1/2018,0.02,,58,44
USW00025333,"SITKA AIRPORT, AK US",6/2/2018,0.19,,53,45
USW00025333,"SITKA AIRPORT, AK US",6/3/2018,0.00,,57,43
USW00025333,"SITKA AIRPORT, AK US",6/4/2018,0.07,,52,46
USW00025333,"SITKA AIRPORT, AK US",6/5/2018,0.00,,63,44
USW00025333,"SITKA AIRPORT, AK US",6/6/2018,0.07,,57,47
USW00025333,"SITKA AIRPORT, AK US",6/7/2018,0.04,,59,48
USW00025333,"SITKA AIRPORT, AK US",6/8/2018,0.02,,59,45
USW00025333,"SITKA AIRPORT, AK US",6/9/2018,0.19,,60,44
USW00025333,"SITKA AIRPORT, AK US",6/10/2018,1.09,,53,46
USW00025333,"SITKA AIRPORT, AK US",6/11/2018,0.07,,51,49
USW00025333,"SITKA AIRPORT, AK US",6/12/2018,0.02,,63,46
USW00025333,"SITKA AIRPORT, AK US",6/13/2018,0.10,,56,49
USW00025333,"SITKA AIRPORT, AK US",6/14/2018,0.01,,54,49
USW00025333,"SITKA AIRPORT, AK US",6/15/2018,0.00,,60,50
USW00025333,"SITKA AIRPORT, AK US",6/16/2018,0.36,,57,48
USW00025333,"SITKA AIRPORT, AK US",6/17/2018,0.02,,54,52
USW00025333,"SITKA AIRPORT, AK US",6/18/2018,0.00,,62,52
USW00025333,"SITKA AIRPORT, AK US",6/19/2018,0.00,,67,52
USW00025333,"SITKA AIRPORT, AK US",6/20/2018,0.00,,62,52
USW00025333,"SITKA AIRPORT, AK US",6/21/2018,0.00,,57,52
USW00025333,"SITKA AIRPORT, AK US",6/22/2018,0.00,,60,52
USW00025333,"SITKA AIRPORT, AK US",6/23/2018,0.00,,57,49
USW00025333,"SITKA AIRPORT, AK US",6/24/2018,0.05,,61,50
USW00025333,"SITKA AIRPORT, AK US",6/25/2018,0.01,,60,50
USW00025333,"SITKA AIRPORT, AK US",6/26/2018,0.11,,55,49
USW00025333,"SITKA AIRPORT, AK US",6/27/2018,0.00,,56,50
USW00025333,"SITKA AIRPORT, AK US",6/28/2018,0.20,,61,50
USW00025333,"SITKA AIRPORT, AK US",6/29/2018,0.38,,57,51
USW00025333,"SITKA AIRPORT, AK US",6/30/2018,0.14,,57,51
USW00025333,"SITKA AIRPORT, AK US",7/1/2018,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",7/2/2018,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",7/3/2018,0.00,,70,54
USW00025333,"SITKA AIRPORT, AK US",7/4/2018,0.00,,70,55
USW00025333,"SITKA AIRPORT, AK US",7/5/2018,0.00,,67,55
USW00025333,"SITKA AIRPORT, AK US",7/6/2018,0.00,,59,55
USW00025333,"SITKA AIRPORT, AK US",7/7/2018,0.00,,58,55
USW00025333,"SITKA AIRPORT, AK US",7/8/2018,0.00,,62,54
USW00025333,"SITKA AIRPORT, AK US",7/9/2018,0.00,,66,55
USW00025333,"SITKA AIRPORT, AK US",7/10/2018,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",7/11/2018,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",7/12/2018,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",7/13/2018,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",7/14/2018,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",7/15/2018,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",7/16/2018,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/17/2018,0.00,,64,52
USW00025333,"SITKA AIRPORT, AK US",7/18/2018,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",7/19/2018,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",7/20/2018,0.00,,61,56
USW00025333,"SITKA AIRPORT, AK US",7/21/2018,0.00,,65,55
USW00025333,"SITKA AIRPORT, AK US",7/22/2018,0.00,,65,54
USW00025333,"SITKA AIRPORT, AK US",7/23/2018,0.00,,63,54
USW00025333,"SITKA AIRPORT, AK US",7/24/2018,0.00,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/25/2018,0.00,,64,52
USW00025333,"SITKA AIRPORT, AK US",7/26/2018,0.00,,65,58
USW00025333,"SITKA AIRPORT, AK US",7/27/2018,0.00,,68,58
USW00025333,"SITKA AIRPORT, AK US",7/28/2018,0.00,,66,56
USW00025333,"SITKA AIRPORT, AK US",7/29/2018,0.00,,64,56
USW00025333,"SITKA AIRPORT, AK US",7/30/2018,0.00,,67,58
USW00025333,"SITKA AIRPORT, AK US",7/31/2018,0.00,,65,56
USW00025333,"SITKA AIRPORT, AK US",8/1/2018,0.00,,66,56
USW00025333,"SITKA AIRPORT, AK US",8/2/2018,0.17,,59,56
USW00025333,"SITKA AIRPORT, AK US",8/3/2018,0.01,,67,55
USW00025333,"SITKA AIRPORT, AK US",8/4/2018,0.00,,73,55
USW00025333,"SITKA AIRPORT, AK US",8/5/2018,0.00,,72,54
USW00025333,"SITKA AIRPORT, AK US",8/6/2018,0.00,,64,56
USW00025333,"SITKA AIRPORT, AK US",8/7/2018,0.07,,62,55
USW00025333,"SITKA AIRPORT, AK US",8/8/2018,2.62,,61,57
USW00025333,"SITKA AIRPORT, AK US",8/9/2018,0.65,,61,55
USW00025333,"SITKA AIRPORT, AK US",8/10/2018,0.01,,63,53
USW00025333,"SITKA AIRPORT, AK US",8/11/2018,0.00,,65,51
USW00025333,"SITKA AIRPORT, AK US",8/12/2018,0.05,,62,56
USW00025333,"SITKA AIRPORT, AK US",8/13/2018,1.29,,59,56
USW00025333,"SITKA AIRPORT, AK US",8/14/2018,0.09,,61,55
USW00025333,"SITKA AIRPORT, AK US",8/15/2018,0.00,,60,52
USW00025333,"SITKA AIRPORT, AK US",8/16/2018,0.00,,63,53
USW00025333,"SITKA AIRPORT, AK US",8/17/2018,0.20,,66,52
USW00025333,"SITKA AIRPORT, AK US",8/18/2018,0.00,,63,51
USW00025333,"SITKA AIRPORT, AK US",8/19/2018,0.00,,67,51
USW00025333,"SITKA AIRPORT, AK US",8/20/2018,0.00,,65,52
USW00025333,"SITKA AIRPORT, AK US",8/21/2018,0.25,,63,55
USW00025333,"SITKA AIRPORT, AK US",8/22/2018,0.46,,59,55
USW00025333,"SITKA AIRPORT, AK US",8/23/2018,0.02,,60,55
USW00025333,"SITKA AIRPORT, AK US",8/24/2018,0.39,,58,54
USW00025333,"SITKA AIRPORT, AK US",8/25/2018,0.32,,58,54
USW00025333,"SITKA AIRPORT, AK US",8/26/2018,0.00,,63,51
USW00025333,"SITKA AIRPORT, AK US",8/27/2018,0.63,,59,55
USW00025333,"SITKA AIRPORT, AK US",8/28/2018,1.33,,61,56
USW00025333,"SITKA AIRPORT, AK US",8/29/2018,0.00,,62,53
USW00025333,"SITKA AIRPORT, AK US",8/30/2018,0.21,,61,53
USW00025333,"SITKA AIRPORT, AK US",8/31/2018,0.23,,61,54
USW00025333,"SITKA AIRPORT, AK US",9/1/2018,0.39,,57,52
USW00025333,"SITKA AIRPORT, AK US",9/2/2018,0.00,,63,49
USW00025333,"SITKA AIRPORT, AK US",9/3/2018,0.00,,62,48
USW00025333,"SITKA AIRPORT, AK US",9/4/2018,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",9/5/2018,0.00,,67,50
USW00025333,"SITKA AIRPORT, AK US",9/6/2018,0.00,,64,50
USW00025333,"SITKA AIRPORT, AK US",9/7/2018,0.14,,65,52
USW00025333,"SITKA AIRPORT, AK US",9/8/2018,0.01,,68,55
USW00025333,"SITKA AIRPORT, AK US",9/9/2018,0.01,,66,54
USW00025333,"SITKA AIRPORT, AK US",9/10/2018,0.00,,71,51
USW00025333,"SITKA AIRPORT, AK US",9/11/2018,0.00,,69,50
USW00025333,"SITKA AIRPORT, AK US",9/12/2018,0.00,,67,47
USW00025333,"SITKA AIRPORT, AK US",9/13/2018,0.00,,61,49
USW00025333,"SITKA AIRPORT, AK US",9/14/2018,0.00,,65,46
USW00025333,"SITKA AIRPORT, AK US",9/15/2018,0.00,,62,45
USW00025333,"SITKA AIRPORT, AK US",9/16/2018,0.00,,59,41
USW00025333,"SITKA AIRPORT, AK US",9/17/2018,0.00,,60,41
USW00025333,"SITKA AIRPORT, AK US",9/18/2018,0.00,,64,44
USW00025333,"SITKA AIRPORT, AK US",9/19/2018,0.00,,63,42
USW00025333,"SITKA AIRPORT, AK US",9/20/2018,0.00,,58,43
USW00025333,"SITKA AIRPORT, AK US",9/21/2018,0.00,,64,43
USW00025333,"SITKA AIRPORT, AK US",9/22/2018,0.12,,56,43
USW00025333,"SITKA AIRPORT, AK US",9/23/2018,0.79,,56,50
USW00025333,"SITKA AIRPORT, AK US",9/24/2018,0.22,,56,50
USW00025333,"SITKA AIRPORT, AK US",9/25/2018,1.52,,57,54
USW00025333,"SITKA AIRPORT, AK US",9/26/2018,0.31,,57,53
USW00025333,"SITKA AIRPORT, AK US",9/27/2018,0.03,,57,53
USW00025333,"SITKA AIRPORT, AK US",9/28/2018,0.01,,61,50
USW00025333,"SITKA AIRPORT, AK US",9/29/2018,0.00,,64,45
USW00025333,"SITKA AIRPORT, AK US",9/30/2018,0.00,,63,43
USW00025333,"SITKA AIRPORT, AK US",10/1/2018,0.00,,66,41
USW00025333,"SITKA AIRPORT, AK US",10/2/2018,0.00,,56,40
USW00025333,"SITKA AIRPORT, AK US",10/3/2018,0.00,,54,38
USW00025333,"SITKA AIRPORT, AK US",10/4/2018,0.01,,54,38
USW00025333,"SITKA AIRPORT, AK US",10/5/2018,0.78,,57,49
USW00025333,"SITKA AIRPORT, AK US",10/6/2018,0.08,,52,48
USW00025333,"SITKA AIRPORT, AK US",10/7/2018,0.25,,53,49
USW00025333,"SITKA AIRPORT, AK US",10/8/2018,0.23,,56,42
USW00025333,"SITKA AIRPORT, AK US",10/9/2018,0.00,,54,40
USW00025333,"SITKA AIRPORT, AK US",10/10/2018,1.51,,53,45
USW00025333,"SITKA AIRPORT, AK US",10/11/2018,0.40,,52,46
USW00025333,"SITKA AIRPORT, AK US",10/12/2018,0.02,,54,43
USW00025333,"SITKA AIRPORT, AK US",10/13/2018,0.40,,56,47
USW00025333,"SITKA AIRPORT, AK US",10/14/2018,0.38,,57,54
USW00025333,"SITKA AIRPORT, AK US",10/15/2018,0.02,,60,53
USW00025333,"SITKA AIRPORT, AK US",10/16/2018,1.50,,59,51
USW00025333,"SITKA AIRPORT, AK US",10/17/2018,0.16,,55,49
USW00025333,"SITKA AIRPORT, AK US",10/18/2018,0.08,,55,48
USW00025333,"SITKA AIRPORT, AK US",10/19/2018,0.87,,56,49
USW00025333,"SITKA AIRPORT, AK US",10/20/2018,0.20,,54,48
USW00025333,"SITKA AIRPORT, AK US",10/21/2018,0.08,,56,50
USW00025333,"SITKA AIRPORT, AK US",10/22/2018,0.93,,61,48
USW00025333,"SITKA AIRPORT, AK US",10/23/2018,0.25,,61,51
USW00025333,"SITKA AIRPORT, AK US",10/24/2018,0.00,,55,50
USW00025333,"SITKA AIRPORT, AK US",10/25/2018,0.49,,55,48
USW00025333,"SITKA AIRPORT, AK US",10/26/2018,0.60,,51,44
USW00025333,"SITKA AIRPORT, AK US",10/27/2018,0.01,,54,46
USW00025333,"SITKA AIRPORT, AK US",10/28/2018,0.00,,54,45
USW00025333,"SITKA AIRPORT, AK US",10/29/2018,0.24,,55,46
USW00025333,"SITKA AIRPORT, AK US",10/30/2018,0.23,,51,41
USW00025333,"SITKA AIRPORT, AK US",10/31/2018,0.03,,47,39
USW00025333,"SITKA AIRPORT, AK US",11/1/2018,0.06,,49,43
USW00025333,"SITKA AIRPORT, AK US",11/2/2018,0.30,,45,40
USW00025333,"SITKA AIRPORT, AK US",11/3/2018,0.35,,50,44
USW00025333,"SITKA AIRPORT, AK US",11/4/2018,0.30,,48,44
USW00025333,"SITKA AIRPORT, AK US",11/5/2018,0.01,,47,35
USW00025333,"SITKA AIRPORT, AK US",11/6/2018,0.00,,46,32
USW00025333,"SITKA AIRPORT, AK US",11/7/2018,0.04,,50,33
USW00025333,"SITKA AIRPORT, AK US",11/8/2018,0.49,,51,45
USW00025333,"SITKA AIRPORT, AK US",11/9/2018,0.25,,50,43
USW00025333,"SITKA AIRPORT, AK US",11/10/2018,0.23,,47,43
USW00025333,"SITKA AIRPORT, AK US",11/11/2018,0.13,,50,45
USW00025333,"SITKA AIRPORT, AK US",11/12/2018,0.08,,54,49
USW00025333,"SITKA AIRPORT, AK US",11/13/2018,0.56,,53,46
USW00025333,"SITKA AIRPORT, AK US",11/14/2018,0.92,,49,45
USW00025333,"SITKA AIRPORT, AK US",11/15/2018,0.14,,48,37
USW00025333,"SITKA AIRPORT, AK US",11/16/2018,0.52,,48,36
USW00025333,"SITKA AIRPORT, AK US",11/17/2018,1.65,,54,47
USW00025333,"SITKA AIRPORT, AK US",11/18/2018,0.88,,52,47
USW00025333,"SITKA AIRPORT, AK US",11/19/2018,0.02,,52,45
USW00025333,"SITKA AIRPORT, AK US",11/20/2018,0.43,,51,43
USW00025333,"SITKA AIRPORT, AK US",11/21/2018,0.06,,46,38
USW00025333,"SITKA AIRPORT, AK US",11/22/2018,0.18,,47,39
USW00025333,"SITKA AIRPORT, AK US",11/23/2018,0.00,,44,34
USW00025333,"SITKA AIRPORT, AK US",11/24/2018,0.04,,48,36
USW00025333,"SITKA AIRPORT, AK US",11/25/2018,0.04,,54,48
USW00025333,"SITKA AIRPORT, AK US",11/26/2018,0.73,,53,46
USW00025333,"SITKA AIRPORT, AK US",11/27/2018,0.00,,47,41
USW00025333,"SITKA AIRPORT, AK US",11/28/2018,0.28,,45,40
USW00025333,"SITKA AIRPORT, AK US",11/29/2018,0.13,,43,34
USW00025333,"SITKA AIRPORT, AK US",11/30/2018,0.03,,39,31
USW00025333,"SITKA AIRPORT, AK US",12/1/2018,0.00,,36,28
USW00025333,"SITKA AIRPORT, AK US",12/2/2018,0.02,,39,32
USW00025333,"SITKA AIRPORT, AK US",12/3/2018,0.02,,39,32
USW00025333,"SITKA AIRPORT, AK US",12/4/2018,0.02,,41,35
USW00025333,"SITKA AIRPORT, AK US",12/5/2018,0.00,,41,35
USW00025333,"SITKA AIRPORT, AK US",12/6/2018,0.01,,44,39
USW00025333,"SITKA AIRPORT, AK US",12/7/2018,0.04,,48,40
USW00025333,"SITKA AIRPORT, AK US",12/8/2018,0.06,,52,45
USW00025333,"SITKA AIRPORT, AK US",12/9/2018,0.42,,50,41
USW00025333,"SITKA AIRPORT, AK US",12/10/2018,1.30,,45,42
USW00025333,"SITKA AIRPORT, AK US",12/11/2018,0.92,,46,38
USW00025333,"SITKA AIRPORT, AK US",12/12/2018,0.05,,43,37
USW00025333,"SITKA AIRPORT, AK US",12/15/2018,0.00,,46,31
USW00025333,"SITKA AIRPORT, AK US",12/16/2018,0.31,,49,43
USW00025333,"SITKA AIRPORT, AK US",12/17/2018,0.35,,48,43
USW00025333,"SITKA AIRPORT, AK US",12/18/2018,0.62,,48,41
USW00025333,"SITKA AIRPORT, AK US",12/19/2018,0.28,,43,35
USW00025333,"SITKA AIRPORT, AK US",12/20/2018,0.42,,39,31
USW00025333,"SITKA AIRPORT, AK US",12/21/2018,0.00,,41,32
USW00025333,"SITKA AIRPORT, AK US",12/22/2018,0.00,,44,36
USW00025333,"SITKA AIRPORT, AK US",12/23/2018,0.08,,43,36
USW00025333,"SITKA AIRPORT, AK US",12/24/2018,0.61,,41,37
USW00025333,"SITKA AIRPORT, AK US",12/25/2018,0.00,,44,35
USW00025333,"SITKA AIRPORT, AK US",12/26/2018,0.21,,46,42
USW00025333,"SITKA AIRPORT, AK US",12/27/2018,0.26,,47,42
USW00025333,"SITKA AIRPORT, AK US",12/28/2018,0.03,,44,35
USW00025333,"SITKA AIRPORT, AK US",12/29/2018,0.13,,38,32
USW00025333,"SITKA AIRPORT, AK US",12/30/2018,0.20,,42,36
USW00025333,"SITKA AIRPORT, AK US",12/31/2018,0.89,,48,41
